DEPARTAMENTOS;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016p
Amazonas;2.626.279;2.947.156;3.029.319;3.068.743;3.471.651;3.750.406;4.095.434;4.332.556;4.707.522;4.988.267;5.304.303;5.613.659;6.010.936;6.399.163;6.937.444;7.384.284;7.926.007
Antioquia;5.436.385;5.763.317;6.202.641;6.710.629;7.665.157;8.331.471;9.260.724;10.271.874;10.866.463;11.260.151;11.760.133;13.098.714;13.881.315;14.700.500;15.938.679;17.067.673;18.335.826
Arauca;8.774.001;6.145.464;9.126.855;10.959.963;9.951.352;14.315.316;15.953.106;17.184.019;23.189.450;20.019.877;20.327.946;23.973.436;23.134.108;21.806.671;18.955.702;17.280.750;15.980.995
Atlántico;4.424.037;4.667.827;4.905.686;5.194.730;5.776.028;6.360.052;7.101.817;8.085.443;8.569.745;8.941.104;8.977.040;9.624.257;10.557.182;11.308.788;12.288.636;13.308.746;14.602.850
Bogotá D. C.;8.768.847;9.451.064;10.200.334;11.017.314;12.171.889;13.245.097;14.552.751;16.027.709;17.225.871;18.200.597;19.036.278;20.447.644;21.600.918;22.847.360;24.194.259;25.932.558;27.563.656
Bolivar;3.938.897;4.312.223;4.630.600;5.771.906;6.670.283;7.084.406;8.055.190;9.145.981;9.835.871;9.820.106;10.903.974;12.843.247;13.498.403;14.990.418;14.712.948;14.589.247;16.723.250
Boyaca;4.633.267;4.931.866;5.407.091;5.958.069;6.347.307;6.947.266;7.734.890;9.132.145;10.698.578;11.136.986;12.035.638;14.254.710;15.015.738;15.881.620;17.059.269;18.371.883;20.130.552
Caldas;3.666.558;4.062.305;4.548.305;5.071.807;5.464.537;6.110.970;6.912.886;7.647.613;8.226.842;8.361.130;8.782.205;9.252.581;9.556.030;10.243.722;11.154.697;12.081.082;13.158.453
Caqueta;2.364.973;2.542.874;2.635.629;3.073.060;3.267.675;3.521.847;3.793.324;4.261.983;4.703.484;5.026.342;5.134.367;5.502.791;6.337.116;6.880.966;7.443.679;7.735.919;8.527.507
Casanare;25.701.253;21.933.427;19.974.842;23.042.419;21.520.699;23.090.261;23.688.411;22.062.770;28.344.356;25.820.384;29.135.099;41.041.919;44.408.469;44.901.756;43.310.425;35.948.822;30.194.006
Cauca;2.313.429;2.603.613;2.881.898;3.014.834;3.540.435;3.872.071;4.310.800;4.712.109;5.286.263;5.611.600;6.192.007;6.672.147;7.416.676;8.316.768;8.997.179;10.099.560;11.017.103
Cesar;3.398.203;4.005.977;4.462.196;5.155.489;6.165.532;6.935.843;7.746.479;8.198.619;10.092.876;10.519.297;10.882.094;13.059.545;13.565.164;12.844.875;13.212.557;13.941.238;15.320.725
Choco;1.639.445;1.698.820;1.797.079;2.240.945;2.625.162;2.819.054;3.067.746;3.263.574;3.626.834;4.387.211;5.691.496;6.861.195;6.623.512;5.914.541;5.824.486;6.618.769;7.310.659
