DEPARTAMENTOS;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;;;;;
Antioquia;38.571;39.751;39.198;38.418;41.330;42.460;45.753;46.912;50.191;50.566;51.906;51.814;52.764;54.841;56.021;58.771;60.358;62.716;61.181;58.761;60.679;61.967;63.369;66.142;70.484;73.923;79.224;84.784;86.216;85.660;88.492;95.753;99.629;104.012;111.129;115.446;119.046;120.973;125.173;129.672;121.247;137.020;146.040;;;;;
Atlantico;13.251;12.979;13.358;14.228;13.794;13.296;13.355;13.228;13.697;14.610;14.719;15.015;14.831;15.977;18.203;19.356;19.588;20.647;20.157;18.932;19.314;19.715;19.904;20.399;21.368;22.122;23.863;26.106;26.748;26.736;26.633;28.126;30.066;31.664;33.772;35.716;36.347;36.779;37.610;38.690;36.205;40.607;44.372;;;;;
Bogota;61.791;64.407;66.310;66.630;68.220;69.003;72.924;77.674;81.222;82.830;85.007;88.598;91.773;99.371;109.658;112.207;114.101;116.928;118.524;106.410;107.152;111.745;115.941;121.858;126.905;135.215;144.141;153.259;158.293;161.609;167.409;176.870;183.104;190.160;198.996;206.478;210.683;214.484;221.652;229.314;213.988;237.631;260.391;;;;;
Bolivar;8.725;8.567;8.400;9.023;9.476;9.768;10.102;10.473;10.519;10.508;11.021;11.739;12.388;12.827;12.897;13.608;13.978;14.097;14.692;13.614;14.200;14.827;15.090;17.219;18.126;18.886;20.196;21.861;22.152;22.107;23.077;25.159;25.784;28.346;27.793;28.105;29.285;30.271;30.804;31.920;28.576;32.661;35.424;;;;;
Boyaca;9.228;9.548;9.024;9.155;8.758;9.007;9.435;9.886;10.460;10.843;11.003;11.208;11.292;12.829;12.066;12.149;12.033;12.237;11.848;11.897;12.101;12.240;12.394;12.804;12.682;13.069;13.694;15.467;16.573;16.726;17.346;18.969;19.556;20.127;20.986;22.165;22.341;22.574;23.237;23.732;21.491;23.270;24.835;;;;;
Caldas;4.815;4.915;4.928;5.330;5.341;5.347;5.680;5.947;5.868;6.192;6.501;6.969;6.906;7.269;8.400;8.331;7.837;8.147;8.161;7.426;7.812;8.385;8.795;9.158;9.060;9.411;10.154;10.745;10.927;10.424;10.675;10.696;10.777;11.462;12.106;12.514;12.821;13.043;13.395;13.798;13.088;14.454;15.325;;;;;
Caqueta;1.127;1.125;1.128;1.193;1.205;1.189;1.218;1.239;1.275;1.366;1.394;1.440;1.477;1.553;1.658;1.711;1.782;1.928;2.105;1.883;1.940;1.989;1.921;2.057;2.013;2.088;2.173;2.336;2.461;2.544;2.573;2.664;2.982;3.156;3.323;3.350;3.427;3.454;3.525;3.596;3.378;3.663;3.765;;;;;
Cauca;3.537;3.424;3.631;3.837;3.786;3.961;3.976;4.142;4.441;4.751;4.897;5.106;5.523;5.935;5.412;5.720;5.859;5.996;6.235;6.458;6.854;7.341;7.564;7.499;8.167;8.247;8.749;9.212;9.806;9.840;10.528;10.924;11.911;13.291;13.899;14.622;14.975;14.876;15.139;15.614;14.599;16.097;16.946;;;;;
Cesar;4.074;4.163;3.673;3.679;3.682;3.839;3.950;3.927;4.135;4.064;4.216;4.172;4.219;4.641;5.067;5.684;6.161;6.340;6.309;6.264;6.235;6.850;7.163;7.892;8.728;9.076;9.825;10.446;10.858;11.135;11.559;12.873;13.697;13.588;14.391;14.570;15.676;16.123;16.090;16.646;14.259;14.778;15.594;;;;;
Choco;1.117;1.118;1.148;1.138;1.193;1.354;1.546;1.668;1.910;2.182;2.259;2.064;2.147;1.999;2.029;2.109;1.976;1.889;1.993;1.873;1.835;1.862;1.841;2.104;2.361;2.531;2.537;2.588;2.732;3.136;3.794;4.031;3.877;3.547;3.472;3.571;3.765;3.482;3.202;3.341;3.281;3.546;3.624;;;;;
